Strategy,Technique,imtlementation issues / notes,Nudge Idea ,Site ,UI Implementation
1. Goals and planning,1.1 Goal setting (behavior),done,Ask the user to set a goal of spending less than X amount of time per visit of site,,"Set an alarm: ""How long do you want to spend on Facebook on this visit?"""
,1.2 Problem Solving,done,Identify specific triggers for why they are on a site so often,,"Display ""Why are you visiting Facebook today?"" and response space."
,1.3 Goal setting (outcome),,Set a maximum time on site goal.,,"Set an alarm: ""How long do you want to spend on Facebook?"""
,1.4 Action planning,,Encourage a detailed plan to spend time on site less.,,"Display ""Make a detailed plan for spending less time online."""
,1.5 Review behavior goal(s),"""resetting goal time"" is unclear, I'm assuming this means you set your goal time again?",Tell you how many days in a row you've been able to exit site before your alarm rings and re-set the time spent goal,,"Display ""[#] days of exiting Facebook in goal time!"" and insert link to resetting goal time."
,1.6 Discrepancy between current behavior and goal,,Point out that actual time spent on site is higher than goal time spent on site.,,"Display ""You've spent [#] minutes on Facebook today. That's [#] minutes over your goal!"""
,1.7 Review outcome goal(s),,Tell you how many days in a row you've met your goal of saving X amount of time on site and re-set the goal,,"Display ""[#] days of meeting all your goals!"" and insert link to resetting goal time."
,1.8 Behavioral contract,,[Not applicable],,[Not applicable]
,1.9 Commitment,,"Ask user to make a written commitment for how much time they will spend on site. (""I will..."")",,"Display ""Make a commitment for how much time you will spend online."""
2. Feedback and monitoring,2.1 Monitoring of behavior by others without feedback,"we should just show a static diagram for this, it'll be hard to get actual data from real other users that they know",Encourage users to pay attention to others' time saving tactics in daily life,,"Display ""Recommendation: try to pay attention to the way other people save time online!"""
,2.2 Feedback on behaviour,,Inform user of how many times a day they have been able to exit site within 10 minutes of visit,,"Display ""[#] days of exiting Facebook within 10 minutes each visit!"""
,2.3 Self-monitoring of behaviour,"tricky from an API perspective (we would need to have them log into google calendar, this assumes they use a google calendar in the first place). perhaps just have them record how they're using time and we store it locally instead of on their calendar",Ask user to record time used online in a journal/on their google calendar.,,"Display ""Recommendation: record how you use your time online on a calendar"""
,2.4 Self-monitoring of outcome(s) of behaviour,,[Not applicable],,[Not applicable]
,2.5 Monitoring of outcome(s) of behavior without feedback,"this doesn't seem like a direct translation of the original ""Record blood pressure, blood glucose, weight loss, or physical fitness"" - I think this one is actually the no-intervention condition",Display how much time a friend has saved online.,,"Display ""Your friend [name] has saved [#] minutes online today"""
,2.6 Biofeedback,,[Not applicable],,[Not applicable]
,2.7 Feedback on outcome(s) of behavior,,Inform user of how much time saved online after turning on another nudge,,"Display ""You have save [#] minutes since asking a friend to monitor your online use."""
3. Social Support,3.1 Social support (unspecified),,Advise the person to call someone when they experience an urge to spend time online.,,"Display ""Recommendation: call a friend when you feel the urge to spend time online."""
,3.2 Social support (practical),"maybe ""display: invite a friend over so you spend less time online""",[Not applicable],,[Not applicable]
,3.3 Social support (emotional),,Ask user to ask someone to watch their online behavior,,"Display ""Recommendation: encourage a friend to monitor your online use"""
4. Shaping knowledge,4.1. Instruction on how to perform the behavior,instead of link we can just show a figure,Link to article discussing how to avoid clickbait.,,Pop up link to http://www.theonlinemom.com/avoid-clickbait-trap/
,4.2 Information about Antecedents,"this may be tricky from an implemntation perspective (can build it with the history API but may take a while), maybe show it for the general case (people tend to do X before using Facebook) instead of per user",Inform user of repeated behaviors preceeding site visits.,,"Display ""Insight: You tend to [action] before using Facebook."""
,4.3 Re-attribution,,Ask user why they spend time online; then provide alternative explanations.,,"Display ""Why do you think you spend time online?"" After response, display ""Do you think you might also be using it to socialize with others?"""
,4.4 Behavioral experiments,,Ask user to collect data on what helps them avoid clickbait material.,,"Display ""Recommendation: pay attention to what helps you avoid clickbait material"""
5. Natural consequences,5.1 Information about health consequences,,"Shows you health statistic about computer use, eg. staring at screens or extended sitting",,"Display ""Did you know: mental health is often negatively affected by excessive online use."""
,5.2 Salience of consequences,maybe a static figure will work better,Opens a video about procrastination and time saving after so much time has passed,,Open https://www.youtube.com/watch?v=Qvcx7Y4caQE
,5.3 Information about social and environmental consequences,,Gives you a fact about the financial consequences of spending time online and how the majority of people advocate fewer time spent online,,
,5.4 Monitoring of emotional consequences,,Ask user to record how they feel after spending less time online,,"Display ""Great! You have saved [#] minutes online today. How do you feel?"""
,5.5 Anticipated regret,,Ask user to assess the degree of regret they will feel if they continue to spend too much time online,,"Display ""Are you sure you want to continue? Think about how much you will regret this."""
,5.6 Information about emotional consequences,,Explain that spending less time online increases happiness and life satisfaction,,"Display ""Did you know: spending less time online increases happiness and life satisfaction."""
6. Comparison of behaviour,6.1 Demonstration of the behavior,,Display a gif that shows someone closing a window,,Pop up image: http://www.extremetech.com/wp-content/uploads/2014/10/windows-10-new-close-animation.gif
,6.2 Social comparison,"maybe instead change to ""other users spend X minutes on FB"", or ""X other users have saved time with habitlab today""",Show how many other users are saving time,,"Display ""[#] other users are saving time with HabitLab"""
,6.3 Information about others’ approval,,Informs user of how most people advocate spending less time onlines and the good reputation associated with spending less time online.,,"Display ""Keep in mind: people who use Facebook less tend to be seen as  more productive!"""
7. Associations,7.1 Prompts/cues,,Display a card to remind people to spend less time online.,,"Display ""Reminder: you have made a commitment to saving time online!"""
,7.2 Cue signalling reward,,[Not applicable],,[Not applicable]
